mom_cohort,mom_tag,pup_cohort,pup_tag
OB(1),165,FB(1),40
OB(2),62,YO(1),40
FB(1),401,WW(2),41
LB(2),296,GG(2),41
YY(2),26,LB(2),41
YY(2),289,GW(2),41
FB(1),401,RW(1),42
PO(1),223,GW(2),42
WW(1),372,LB(2),42
GW(2),344,RW(1),43
LB(2),296,YO(1),43
PG(1),401,WW(2),43
PP(2),58,OB(2),43
WB(2),318,OO(3),43
GR(2),247,WB(2),44
GW(2),344,GG(2),44
OB(1),74,GW(2),44
OB(1),165,OB(2),44
OO(2),100,PG(1),44
BF(1),118,GW(2),45
FB(1),293,YO(1),45
OB(1),394,LB(2),45
OB(2),427,OO(3),45
OO(2),15,FB(1),45
PG(1),348,GG(2),45
YO(1),3,WW(2),45
YO(1),481,BB(3),45
BP(1),358,GW(2),46
LB(2),25,GG(2),46
WB(1),209,LB(2),46
YY(2),403,FB(1),46
GR(1),444,GW(2),47
OO(2),157,OB(2),47
PO(1),162,LB(2),47
RR(2),423,YO(1),47
RW(1),437,BB(3),47
YY(2),240,PG(1),47
BB(2),99,GW(2),48
LB(2),310,PG(1),48
PP(2),190,FB(1),48
PP(2),321,GG(2),48
YO(1),1,YY(3),48
YO(1),377,BB(3),48
FB(1),97,PG(1),49
RR(2),289,OB(2),49
WB(1),60,GW(2),49
WW(1),58,FB(1),49
OO(2),267,OB(2),50
OO(2),294,LB(2),50
YO(1),290,GG(2),50
GR(2),236,WB(2),51
LB(2),25,PG(1),51
RR(2),364,OB(2),51
LB(2),25,OO(3),52
RR(2),276,FB(1),52
RW(1),120,YY(3),52
WR(1),93,OB(2),52
PP(2),186,WB(2),53
RR(2),91,GR(2),53
YY(2),39,PG(1),53
GG(1),331,LB(2),54
GW(2),344,YY(3),54
GW(2),344,WW(2),54
LB(2),296,WB(2),54
PP(2),196,OB(2),54
RW(1),107,BB(3),54
WB(2),510,OO(3),54
WW(1),78,YO(1),54
BP(1),22,FB(1),55
LB(2),25,WW(2),55
LB(2),78,OO(3),55
LB(2),313,PG(1),55
RR(2),423,WB(2),55
BP(1),81,FB(1),56
GR(2),283,GG(2),56
OB(2),511,WB(2),56
PP(2),321,OB(2),56
YP(1),234,GW(2),56
FB(1),57,GG(2),57
LB(2),25,GR(2),57
LB(2),306,PG(1),57
PP(2),430,OB(2),57
RW(1),314,OO(3),57
BB(2),49,OB(2),58
LB(2),25,YO(1),58
LB(2),94,GR(2),58
LB(2),25,RW(1),59
PP(2),230,OB(2),59
RW(1),427,BB(3),59
YY(2),87,FB(1),59
OO(2),15,OB(2),60
WW(1),372,GW(2),60
OB(1),74,GR(2),61
WW(1),78,OO(3),61
FB(1),356,GG(2),62
LB(2),78,WB(2),62
RW(1),482,OO(3),62
GG(2),208,YY(3),63
LB(2),300,PG(1),63
OB(2),103,YO(1),63
RR(2),405,OB(2),63
YP(1),169,GW(2),63
GW(2),245,RW(1),64
PP(2),452,GG(2),64
WR(1),107,OB(2),64
YY(2),198,WB(2),64
OB(2),287,RW(1),65
OB(2),367,WB(2),65
OO(2),274,LB(2),65
RR(2),246,OB(2),65
WB(1),209,GW(2),65
YO(1),338,WW(2),65
BB(2),31,GW(2),66
GR(2),246,WB(2),66
GW(2),428,YO(1),66
YY(2),289,LB(2),66
GR(2),286,RW(1),67
LB(1),92,LB(2),67
OY(1),73,GW(2),67
RR(2),91,OB(2),67
WW(1),78,GG(2),67
FB(1),466,YO(1),68
LB(2),276,WB(2),68
PG(1),401,OO(3),68
YY(2),272,GW(2),68
LB(2),190,GR(2),69
OB(2),139,RW(1),69
PG(1),32,OO(3),69
YO(1),465,WW(2),69
GW(2),340,GR(2),70
OB(2),357,WB(2),70
PP(2),131,FB(1),70
RW(1),388,OO(3),70
GW(2),50,GR(2),71
LB(2),419,PG(1),71
OO(2),406,OB(2),71
PO(1),252,FB(1),71
BB(2),326,LB(2),72
GG(1),98,GW(2),72
GR(2),432,WW(2),72
RW(1),107,YY(3),72
GR(2),61,OO(3),73
GW(2),160,OB(2),73
LB(2),395,YO(1),73
WR(1),152,GW(2),73
YY(2),218,GR(2),73
BP(1),81,OB(2),74
LB(2),307,PG(1),74
OB(2),67,OO(3),74
WW(1),61,LB(2),74
OB(2),67,BB(3),75
OB(2),103,GG(2),75
OO(2),91,GR(2),75
PP(2),42,PG(1),75
YY(2),416,GW(2),75
FB(1),186,WB(2),76
GR(2),464,WB(2),77
RR(2),217,GR(2),77
WB(2),81,OO(3),78
YO(1),29,WW(2),78
PG(1),29,OO(3),79
PP(2),147,OB(2),79
WW(1),61,GR(2),79
OO(2),276,OB(2),80
PG(1),17,GG(2),80
PP(2),400,PG(1),80
RR(2),91,FB(1),80
YO(1),287,OO(3),80
YO(1),465,BB(3),80
YY(2),67,YO(1),80
YY(2),87,LB(2),80
BB(2),408,GW(2),81
