mom_cohort,mom_tag,pup_cohort,pup_tag
PP(2),359,OB(2),203
RW(1),364,OO(3),203
YY(2),198,YO(1),203
GW(2),255,PG(1),204
PG(1),4,GG(2),204
RR(2),275,LB(2),204
YY(2),193,GR(2),204
LB(1),92,OB(2),205
PG(1),250,OO(3),205
RR(2),423,GR(2),205
RW(1),203,BB(3),205
GG(1),331,GW(2),206
GR(2),140,RW(1),206
OB(2),229,OO(3),206
OO(2),91,OB(2),206
BB(2),25,GW(2),207
OB(2),244,WB(2),207
WR(1),110,PG(1),207
BP(1),184,PG(1),208
GR(2),174,OO(3),208
GW(2),340,YO(1),208
OB(2),119,WB(2),208
PG(1),470,BB(3),208
YY(2),432,YY(3),208
BB(2),18,GR(2),209
OB(2),28,GG(2),209
PO(1),43,FB(1),209
YY(2),20,GW(2),209
YY(2),119,YO(1),209
YY(2),550,RW(1),209
BB(2),349,OB(2),210
LB(2),353,YO(1),210
OB(1),159,PG(1),210
WW(1),58,GR(2),210
YO(1),5,BB(3),210
GR(2),141,WB(2),211
PG(1),178,GG(2),211
RR(2),247,YY(3),211
WW(1),298,OB(2),211
YY(2),190,GR(2),211
GR(2),326,GG(2),212
PP(2),131,YO(1),212
YO(1),129,BB(3),212
PP(2),413,YO(1),213
YY(2),463,OO(3),213
GG(1),104,FB(1),214
WB(2),496,YY(3),214
YY(2),240,LB(2),214
FB(1),388,WB(2),215
FB(1),492,YO(1),215
GW(2),94,PG(1),215
OO(2),100,LB(2),215
WB(2),538,OO(3),215
WW(1),380,OB(2),215
YY(2),467,GW(2),215
BP(1),282,GW(2),216
GR(2),182,WW(2),216
LB(2),353,WB(2),216
OB(2),229,YO(1),216
RR(2),364,PG(1),216
BB(2),102,OB(2),217
GR(2),75,GG(2),217
GW(2),93,GR(2),217
OY(1),31,LB(2),217
PG(1),293,YY(3),217
PO(1),224,PG(1),217
YY(2),491,WB(2),217
OO(2),406,GR(2),218
PP(2),186,YY(3),218
PP(2),293,YO(1),218
WW(1),61,FB(1),218
BB(2),326,PG(1),219
GW(2),186,GR(2),219
OB(2),522,GG(2),219
PG(1),231,BB(3),219
PG(1),451,RW(1),219
PP(2),279,WB(2),219
BB(2),257,GR(2),220
FB(1),401,YO(1),220
RR(2),148,WB(2),220
WB(2),282,OO(3),220
WR(1),33,LB(2),220
LB(2),58,WW(2),221
YO(1),107,OO(3),221
YY(2),237,GG(2),221
LB(2),44,YO(1),222
OB(2),328,WB(2),222
OO(2),236,GW(2),222
PG(1),401,RW(1),222
PP(2),269,OB(2),222
YY(2),550,OO(3),222
BB(2),71,LB(2),223
BP(1),139,GW(2),223
LB(2),79,GR(2),223
PG(1),311,GG(2),223
WB(1),209,OB(2),223
WB(2),410,BB(3),223
YY(2),20,YO(1),223
BB(2),143,GG(2),224
FB(1),400,PG(1),224
OB(2),229,WB(2),224
OB(2),507,RW(1),224
RR(2),127,OB(2),224
RR(2),217,YO(1),224
WW(2),135,YY(3),224
BB(2),25,OB(2),225
BB(2),95,GR(2),225
WB(2),173,OO(3),225
YY(2),190,LB(2),226
FB(1),402,WB(2),227
GG(2),48,YY(3),227
OY(1),164,GW(2),227
YY(2),432,GG(2),227
YY(2),491,GR(2),227
BB(2),326,YO(1),228
FB(1),47,WB(2),228
BP(1),105,GW(2),229
GR(2),236,GG(2),229
GR(2),480,RW(1),229
OB(2),529,WB(2),229
YY(2),392,LB(2),229
BB(2),272,GW(2),230
BB(2),97,GR(2),231
BB(2),102,YO(1),231
OB(2),529,RW(1),231
YY(2),237,OB(2),231
GW(2),255,GR(2),232
OB(2),514,YO(1),232
RR(2),24,FB(1),232
WB(2),442,WW(2),232
WB(2),32,OO(3),234
YY(2),70,FB(1),234
YO(1),304,GG(2),235
YY(2),67,FB(1),235
FB(1),269,YO(1),236
GR(2),404,RW(1),236
PP(2),31,OB(2),236
WB(1),103,WB(2),236
YY(2),67,LB(2),236
BB(2),37,LB(2),237
BB(2),190,GR(2),237
OB(2),328,RW(1),237
OO(2),133,OB(2),237
PG(1),433,GG(2),237
PP(2),131,PG(1),237
RW(1),451,YY(3),237
BB(2),49,GR(2),238
PO(1),264,LB(2),238
YO(1),5,OO(3),238
FB(1),11,GG(2),239
LB(2),419,RW(1),239
PG(1),370,OO(3),239
RR(2),76,YO(1),239
BP(1),33,GG(2),240
GR(2),182,OO(3),240
GW(2),418,WB(2),240
WR(1),264,FB(1),240
YY(2),220,OB(2),240
YY(2),323,GW(2),240
GG(1),44,LB(2),241
GG(2),446,YY(3),241
GR(2),343,RW(1),241
PG(1),247,GG(2),241
YY(2),20,PG(1),241
YY(2),189,WB(2),241
RR(2),364,YO(1),242
RR(2),405,GR(2),242
GR(2),373,RW(1),243
LB(2),1,GR(2),243
OO(2),28,OB(2),243
PO(1),385,YO(1),243
WB(2),538,YY(3),243
YY(2),188,LB(2),243
PG(1),247,OO(3),244
YY(2),9,FB(1),244
YY(2),33,GG(2),244
FB(1),57,WB(2),245
GR(2),174,BB(3),245
YY(2),66,GG(2),245
OB(2),175,YO(1),246
OO(2),70,LB(2),246
RR(2),466,FB(1),246
LB(2),310,YO(1),247
PG(1),281,GG(2),247
RR(2),127,PG(1),247
BB(2),18,LB(2),248
LB(2),146,PG(1),248
YO(1),377,YY(3),248
BB(2),102,PG(1),249
BB(2),102,FB(1),249
GW(2),432,YY(3),249
LB(2),9,GR(2),249
RR(2),196,OB(2),249
YY(2),9,YO(1),249
BP(1),184,GR(2),250
LB(2),124,YO(1),250
BB(2),408,OB(2),251
GR(2),278,WB(2),251
GW(2),298,GR(2),251
OB(2),28,WB(2),252
RR(2),24,YO(1),252
WB(1),259,GW(2),252
LB(2),300,YO(1),253
OO(2),91,FB(1),253
RR(2),405,GG(2),253
YO(1),491,YY(3),253
GR(2),270,RW(1),254
LB(2),58,PG(1),254
OB(1),189,LB(2),254
RR(2),148,FB(1),254
YY(2),550,GG(2),254
GW(2),459,GR(2),255
OY(1),73,FB(1),255
PP(2),279,PG(1),255
YO(1),491,BB(3),255
YY(2),189,LB(2),255
FB(1),289,PG(1),256
OB(2),185,WB(2),256
RR(2),217,FB(1),256
YO(1),129,YY(3),256
YO(1),371,OO(3),256
BP(1),396,GW(2),257
GW(2),340,PG(1),257
OB(2),84,RW(1),257
YY(2),20,OO(3),257
YY(2),432,LB(2),257
FB(1),302,PG(1),258
PP(2),400,OB(2),258
YY(2),169,GR(2),258
YY(2),169,GW(2),258
BB(2),245,RW(1),259
GW(2),136,GR(2),259
PG(1),231,OO(3),259
YY(2),448,PG(1),259
GG(1),104,OB(2),260
GR(2),317,WB(2),260
LB(2),435,OO(3),260
OO(2),286,GW(2),260
OB(2),331,RW(1),261
PP(2),87,OB(2),261
PP(2),279,OO(3),261
LB(2),146,RW(1),262
PP(2),267,FB(1),262
RR(2),430,LB(2),262
FB(1),490,RW(1),263
LB(2),58,GG(2),263
PP(2),293,PG(1),263
RW(1),172,BB(3),263
WW(2),32,YY(3),263
BB(2),245,LB(2),264
GW(2),121,GR(2),264
GW(2),253,YO(1),264
PG(1),247,YY(3),264
YY(2),33,RW(1),264
LB(2),312,PG(1),265
PG(1),231,YY(3),266
WW(1),127,YO(1),266
BB(2),408,OO(3),267
FB(1),186,PG(1),267
GW(2),225,OB(2),267
OB(2),218,YY(3),267
OB(2),390,YO(1),267
BB(2),37,GR(2),268
PP(2),186,BB(3),268
YO(1),228,GG(2),268
YY(2),104,YO(1),268
BB(2),95,PG(1),269
GG(1),57,GR(2),269
PG(1),401,GG(2),269
PO(1),43,OB(2),269
PO(1),264,YO(1),269
FB(1),57,PG(1),270
GG(2),189,YY(3),270
GR(2),246,RW(1),270
YY(2),133,FB(1),270
YY(2),432,GR(2),270
BB(2),51,YO(1),271
GG(1),97,GW(2),271
LB(2),248,WW(2),271
OB(2),196,WB(2),271
OO(2),336,LB(2),271
PP(2),452,OB(2),271
OB(2),522,WB(2),272
PG(1),451,GG(2),272
WW(1),157,GR(2),272
YY(2),237,OO(3),272
OB(2),488,WB(2),273
OB(2),529,GG(2),273
PG(1),37,RW(1),273
PP(2),279,YY(3),273
RR(2),247,YO(1),273
WB(2),40,WW(2),273
YO(1),459,GG(2),274
YY(2),20,FB(1),274
OB(2),163,RW(1),275
WB(2),365,YY(3),275
FB(1),186,RW(1),276
PG(1),379,GG(2),276
YY(2),70,LB(2),276
GR(2),90,GG(2),277
LB(2),114,PG(1),277
WB(2),410,OO(3),277
BP(1),33,GR(2),278
LB(2),286,YO(1),278
RR(2),247,WB(2),278
GG(2),509,YY(3),279
OO(2),332,GW(2),279
RR(2),283,GR(2),279
YY(2),9,OB(2),279
OO(2),276,GR(2),280
YY(2),237,YO(1),280
BB(2),143,RW(1),281
FB(1),289,GG(2),281
GG(2),411,YY(3),281
PP(2),58,GR(2),281
WB(2),235,OO(3),281
BP(1),33,RW(1),282
FB(1),173,PG(1),282
WB(2),381,BB(3),282
WW(1),117,GW(2),282
YY(2),240,OB(2),282
YY(2),432,WB(2),282
GR(2),182,GG(2),283
LB(2),94,PG(1),283
OB(1),285,GW(2),283
OB(2),84,YO(1),283
RR(2),252,FB(1),283
RW(1),74,OO(3),283
GG(2),206,YY(3),284
OB(2),49,WB(2),284
OY(1),73,GG(2),284
WW(1),157,GW(2),284
YY(2),260,GR(2),284
OO(2),258,FB(1),285
PG(1),54,GG(2),285
YO(1),210,OO(3),285
OB(2),482,WB(2),286
OY(1),96,FB(1),286
PP(2),67,BB(3),286
BB(2),51,PG(1),287
LB(2),419,GG(2),287
LB(2),435,YY(3),287
OO(2),133,FB(1),287
PP(2),147,GR(2),287
PP(2),349,OB(2),287
GR(2),179,GG(2),288
LB(2),114,YO(1),288
LB(2),402,PG(1),288
WW(1),259,GR(2),288
YO(1),185,BB(3),288
GG(1),44,YO(1),289
OO(2),28,FB(1),289
YY(2),104,PG(1),289
LB(2),435,GG(2),290
YY(2),169,OB(2),290
YY(2),220,FB(1),290
OB(2),67,WB(2),291
PO(1),252,GR(2),291
RR(2),148,YY(3),291
YY(2),193,OB(2),291
GW(2),110,GR(2),292
LB(2),402,YO(1),292
RR(2),376,WB(2),292
WB(2),413,OO(3),292
GW(2),3,GR(2),293
WW(1),350,YO(1),293
BB(2),169,GR(2),294
BB(2),349,LB(2),294
LB(2),272,PG(1),294
PG(1),250,GG(2),294
PP(2),147,RW(1),294
YO(1),1,OO(3),294
YO(1),338,YY(3),294
BP(1),282,FB(1),295
PG(1),153,OO(3),295
PP(2),450,OB(2),295
WW(1),350,PG(1),295
BB(2),25,FB(1),296
OO(2),169,OB(2),296
PG(1),504,RW(1),296
RR(2),246,PG(1),296
RW(1),233,YY(3),296
WB(2),166,OO(3),296
YY(2),20,GG(2),296
OB(2),28,YO(1),297
PP(2),203,GR(2),297
RR(2),244,OB(2),297
RW(1),168,OO(3),297
WW(1),298,LB(2),297
WW(1),380,FB(1),297
YY(2),33,PG(1),297
BB(2),286,FB(1),298
FB(1),490,WB(2),298
PP(2),333,OB(2),298
FB(1),186,YO(1),299
GG(1),331,FB(1),299
BB(2),255,GR(2),300
OB(2),318,YO(1),300
PG(1),311,BB(3),300
YO(1),32,YY(3),300
PG(1),434,GG(2),301
WR(1),336,LB(2),301
GW(2),209,OB(2),302
PP(2),58,PG(1),302
RW(1),404,BB(3),302
WB(2),243,OO(3),302
YY(2),432,YO(1),302
BB(2),102,GG(2),303
FB(1),165,YO(1),303
FB(1),228,WB(2),303
LB(2),300,GR(2),303
LB(2),306,OO(3),303
LB(2),9,YO(1),304
OO(2),258,LB(2),304
WB(2),40,OO(3),304
YO(1),185,GG(2),304
YY(2),33,OB(2),304
YY(2),242,PG(1),304
YY(2),358,FB(1),304
OB(2),199,BB(3),305
PO(1),227,FB(1),305
RR(2),116,GR(2),305
WB(1),259,YO(1),305
GG(1),72,LB(2),306
LB(2),78,RW(1),306
PG(1),268,WW(2),306
YY(2),432,PG(1),306
YY(2),463,GG(2),306
BP(1),33,PG(1),307
FB(1),427,YO(1),307
RR(2),376,GR(2),307
RR(2),430,OB(2),307
BP(1),33,YO(1),308
LB(2),248,RW(1),308
OB(2),367,WW(2),308
PG(1),236,GG(2),308
PO(1),43,LB(2),308
FB(1),57,WW(2),309
GR(2),296,WB(2),309
OB(2),229,GG(2),309
RR(2),405,YO(1),309
YY(2),242,OB(2),309
YY(2),480,GR(2),309
RR(2),24,RW(1),310
YO(1),307,BB(3),310
YY(2),67,GR(2),310
YY(2),193,YO(1),310
GR(2),89,WB(2),311
OO(2),227,LB(2),311
PG(1),229,GG(2),311
BB(2),246,OB(2),312
GR(2),78,WB(2),312
OO(2),276,YO(1),312
RW(1),256,YY(3),312
YY(2),193,PG(1),312
YY(2),237,FB(1),312
GW(2),466,GR(2),313
LB(2),114,RW(1),313
PP(2),147,PG(1),313
YO(1),3,YY(3),313
GG(1),225,LB(2),314
LB(2),418,YO(1),314
RW(1),376,OO(3),314
WW(1),157,PG(1),314
BB(2),190,PG(1),315
BB(2),198,OB(2),315
GR(2),444,BB(3),315
OB(2),507,GG(2),315
RR(2),247,GR(2),315
GW(2),428,GG(2),316
RR(2),98,FB(1),316
RR(2),470,OB(2),316
YY(2),198,GR(2),316
GW(2),297,GR(2),317
LB(2),418,OO(3),317
RR(2),469,FB(1),317
BB(2),408,LB(2),318
FB(1),57,RW(1),318
GR(2),386,GG(2),318
OO(2),169,FB(1),318
PO(1),344,PG(1),318
WB(2),282,YY(3),318
YY(2),432,OO(3),318
RR(2),24,GR(2),319
WB(1),103,GG(2),319
WW(1),127,PG(1),319
YY(2),348,LB(2),319
OB(2),287,YO(1),320
PP(2),77,RW(1),320
GG(1),44,FB(1),321
GG(1),57,OB(2),321
LB(2),146,WB(2),321
PG(1),355,GG(2),321
PG(1),425,OO(3),321
BB(2),245,PG(1),322
GG(2),218,YY(3),322
LB(2),67,GR(2),322
OB(2),279,GG(2),322
OB(2),390,OO(3),322
YY(2),9,WB(2),322
YY(2),189,OB(2),322
FB(1),173,YO(1),323
RR(2),389,FB(1),323
BP(1),27,PG(1),324
FB(1),445,RW(1),324
GW(2),270,OB(2),324
RR(2),111,GR(2),324
YY(2),133,WB(2),324
FB(1),468,OO(3),325
GW(2),418,YO(1),325
LB(2),225,GR(2),325
BB(2),213,FB(1),326
BB(2),302,LB(2),326
FB(1),302,YO(1),326
RW(1),527,OO(3),326
WW(1),78,GW(2),326
YY(2),198,PG(1),326
GG(2),538,YY(3),327
RR(2),79,GR(2),327
RR(2),148,YO(1),327
BB(2),408,RW(1),328
OB(2),456,YO(1),328
RR(2),430,FB(1),328
YY(2),133,LB(2),328
BB(2),143,YO(1),329
PG(1),4,OO(3),329
FB(1),469,YO(1),330
GW(2),418,PG(1),330
RW(1),256,BB(3),330
WB(2),281,OO(3),330
FB(1),97,YO(1),331
GR(2),179,WB(2),331
OB(1),285,OB(2),331
YO(1),29,OO(3),331
GG(2),462,BB(3),332
GR(2),108,WB(2),332
GR(2),283,WW(2),332
PP(2),279,YO(1),332
FB(1),271,YO(1),333
OB(2),215,WB(2),333
RR(2),430,GR(2),333
BB(2),303,LB(2),334
OB(2),443,YO(1),334
RR(2),423,GG(2),334
WB(2),283,WW(2),334
YY(2),242,FB(1),334
BB(2),286,LB(2),335
BP(1),368,GW(2),335
LB(2),395,GG(2),335
PG(1),348,OO(3),335
RW(1),507,YY(3),335
WB(2),318,BB(3),335
YY(2),66,PG(1),335
WW(1),127,FB(1),336
GG(1),44,PG(1),337
LB(2),435,WB(2),337
PP(2),20,FB(1),337
RR(2),244,GR(2),337
RR(2),343,YO(1),337
WB(2),312,OO(3),337
FB(1),11,PG(1),338
LB(2),313,GG(2),338
PO(1),344,FB(1),338
RW(1),497,OO(3),338
WB(1),259,PG(1),339
BP(1),312,LB(2),340
FB(1),41,PG(1),340
LB(2),160,WB(2),340
PP(2),180,OB(2),340
WW(1),298,GR(2),340
GG(1),44,GR(2),341
GR(2),432,GG(2),341
OB(2),459,WB(2),341
RR(2),405,FB(1),341
BB(2),408,GR(2),342
GG(1),335,LB(2),342
OB(2),321,GG(2),342
GW(2),181,PG(1),343
GW(2),245,GR(2),343
YO(1),51,GG(2),343
GW(2),229,GR(2),344
GW(2),430,YO(1),344
RR(2),247,PG(1),344
RR(2),483,LB(2),344
PG(1),311,OO(3),345
WB(2),253,YY(3),345
WW(1),380,LB(2),345
GW(2),430,WB(2),346
LB(2),248,GG(2),346
LB(2),395,PG(1),346
RR(2),127,LB(2),346
WB(2),433,OO(3),346
WR(1),264,OB(2),346
YY(2),66,GW(2),346
YY(2),189,FB(1),346
BP(1),33,OB(2),347
FB(1),165,PG(1),347
GG(2),206,BB(3),347
OY(1),288,PG(1),348
PG(1),314,GG(2),348
PP(2),452,WW(2),348
WR(1),253,LB(2),348
YY(2),70,OB(2),348
FB(1),337,PG(1),349
OO(2),258,OB(2),349
PP(2),321,OO(3),349
OO(2),176,OB(2),350
RR(2),24,OB(2),351
RW(1),469,OO(3),351
WB(2),169,YY(3),351
GW(2),297,PG(1),352
OB(2),229,RW(1),352
WB(2),243,BB(3),352
FB(1),302,WB(2),353
GW(2),418,OO(3),353
WW(1),298,YO(1),353
YY(2),133,GR(2),353
FB(1),26,YO(1),354
GR(2),386,WB(2),355
GW(2),344,OB(2),355
BB(2),349,FB(1),356
FB(1),221,PG(1),356
FB(1),356,WW(2),356
FB(1),400,YO(1),356
FB(1),133,YO(1),357
GR(2),306,GG(2),357
YY(2),463,LB(2),357
FB(1),173,GG(2),358
RR(2),73,PG(1),358
WW(1),82,LB(2),358
WW(1),251,GW(2),358
GG(1),335,YO(1),359
WB(1),103,PG(1),359
GG(1),94,GW(2),360
OB(2),244,YO(1),360
PG(1),90,GG(2),360
PO(1),385,PG(1),360
PP(2),42,GR(2),360
FB(1),402,PG(1),361
GR(2),309,RW(1),362
GW(2),486,GR(2),362
WB(1),79,LB(2),362
FB(1),303,BB(3),363
LB(2),309,GG(2),363
RR(2),76,PG(1),363
YY(2),463,YO(1),363
FB(1),302,RW(1),364
LB(2),419,YO(1),364
PG(1),439,OO(3),364
YY(2),198,GG(2),364
GR(2),362,WB(2),365
LB(2),67,GG(2),365
YY(2),119,PG(1),365
GG(1),94,LB(2),366
GW(2),432,YO(1),366
RR(2),148,RW(1),366
LB(2),306,YO(1),367
WB(2),250,OO(3),367
GG(1),341,GW(2),368
PG(1),370,WW(2),368
RR(2),343,PG(1),368
YY(2),237,YY(3),369
GR(2),89,RW(1),370
OB(2),103,OO(3),370
PO(1),344,OB(2),370
YY(2),550,YY(3),370
GR(2),90,RW(1),371
PO(1),264,OB(2),371
WW(1),4,GW(2),371
WW(1),82,FB(1),371
YY(2),389,LB(2),371
FB(1),303,YO(1),372
WW(1),117,OB(2),372
YO(1),157,OO(3),372
OO(2),336,OB(2),373
LB(2),422,GG(2),374
YY(2),127,FB(1),374
FB(1),105,BB(3),375
GG(1),94,FB(1),375
WW(1),127,OB(2),375
YY(2),15,LB(2),375
YY(2),432,GW(2),375
GG(1),335,GR(2),376
PG(1),268,GG(2),376
RW(1),427,YY(3),376
YO(1),24,OO(3),376
YY(2),66,FB(1),376
BB(2),408,YO(1),377
WB(2),471,OO(3),377
GR(2),278,GG(2),378
YO(1),313,YY(3),378
BB(2),408,PG(1),379
LB(2),114,WB(2),379
PP(2),174,FB(1),379
PP(2),286,GR(2),380
BB(2),246,GW(2),381
BB(2),303,GR(2),381
FB(1),26,PG(1),381
OB(2),67,RW(1),381
PG(1),297,GG(2),381
RR(2),347,OB(2),381
RW(1),163,OO(3),381
PG(1),433,YY(3),382
PG(1),440,GG(2),382
RR(2),468,FB(1),382
GW(2),418,GG(2),383
GW(2),451,YO(1),383
FB(1),303,PG(1),384
FB(1),468,GG(2),384
PP(2),42,OB(2),384
WW(1),298,FB(1),384
YY(2),193,LB(2),384
OB(2),103,YY(3),385
RR(2),435,OB(2),385
YO(1),313,GG(2),385
YY(2),443,RW(1),385
OB(2),229,BB(3),386
YO(1),68,OO(3),386
FB(1),173,RW(1),387
GG(2),510,YY(3),387
GW(2),92,GR(2),387
YO(1),334,OO(3),387
OB(1),55,OB(2),388
WB(2),191,OO(3),388
RR(2),343,GR(2),389
RW(1),91,YY(3),389
YO(1),260,GG(2),389
YO(1),491,OO(3),389
YY(2),66,YO(1),389
PG(1),54,OO(3),391
WR(1),264,YO(1),391
OO(2),106,GR(2),392
WB(2),362,OO(3),392
FB(1),464,YO(1),393
OB(2),390,GG(2),393
OB(2),487,RW(1),393
YY(2),463,FB(1),393
GW(2),93,GG(2),395
WB(2),190,OO(3),395
WR(1),264,LB(2),395
WW(1),372,GR(2),395
FB(1),57,YY(3),396
RR(2),148,PG(1),396
YO(1),390,GG(2),396
GR(2),167,BB(3),397
GR(2),293,GG(2),397
LB(2),58,OO(3),397
LB(2),233,YO(1),397
LB(2),296,RW(1),397
FB(1),302,WW(2),398
GW(2),283,YO(1),398
OB(1),285,LB(2),398
GR(2),433,WB(2),399
OB(2),199,YY(3),399
GW(2),278,WB(2),400
RW(1),55,OO(3),400
YY(2),241,OB(2),400
YY(2),467,FB(1),400
OB(1),55,LB(2),401
PG(1),105,GG(2),401
RW(1),329,OO(3),401
GR(2),419,GG(2),402
LB(2),272,RW(1),402
OB(2),332,YO(1),402
GR(2),475,RW(1),403
WB(2),281,YY(3),403
GG(2),411,BB(3),404
PO(1),269,YO(1),404
PG(1),229,OO(3),405
YO(1),210,YY(3),405
GG(1),94,OB(2),406
GG(2),459,YY(3),406
GR(2),309,GG(2),406
OB(2),488,RW(1),406
RR(2),343,FB(1),406
WB(2),77,OO(3),406
OB(2),206,YY(3),407
PP(2),452,YO(1),407
YY(2),89,LB(2),407
BB(2),140,PG(1),408
OB(2),141,GG(2),408
RR(2),340,FB(1),408
YO(1),525,YY(3),408
LB(2),463,PG(1),409
OB(2),199,RW(1),409
OB(2),279,OO(3),409
OB(2),436,GG(2),409
YY(2),169,LB(2),409
WB(2),336,OO(3),410
LB(2),272,YO(1),411
PG(1),440,RW(1),411
YO(1),236,OO(3),411
PP(2),432,YO(1),412
BP(1),312,FB(1),413
PG(1),464,GG(2),413
RR(2),252,GR(2),413
YY(2),67,WB(2),413
GW(2),93,YO(1),414
LB(2),135,PG(1),414
OB(2),367,RW(1),414
OO(2),348,LB(2),414
PP(2),403,GR(2),414
YO(1),459,OO(3),414
PG(1),425,RW(1),415
PP(2),54,GR(2),415
WW(1),362,LB(2),415
YY(2),443,YO(1),415
FB(1),289,OO(3),416
GW(2),229,YO(1),416
GW(2),283,GR(2),417
PG(1),236,OO(3),417
RR(2),148,OB(2),417
WB(1),259,LB(2),417
WB(2),336,YY(3),417
YY(2),67,PG(1),417
GG(1),335,OB(2),418
LB(2),352,GR(2),418
GW(2),344,GR(2),419
YO(1),51,YY(3),419
BP(1),68,LB(2),420
GG(1),225,FB(1),420
GG(2),408,YY(3),420
OB(2),60,BB(3),420
YO(1),129,OO(3),420
OB(2),488,WW(2),421
WW(1),82,GW(2),421
BB(2),194,LB(2),422
RW(1),120,OO(3),422
YY(2),237,RW(1),422
BB(2),226,PG(1),423
BF(1),388,LB(2),423
LB(2),313,YO(1),423
PG(1),486,GG(2),423
YY(2),9,RW(1),423
GW(2),93,PG(1),424
OO(2),242,GW(2),424
RR(2),435,GR(2),424
LB(2),286,RW(1),425
PG(1),32,YY(3),425
RR(2),116,OO(3),425
BB(2),102,GR(2),426
GG(2),265,YY(3),426
YO(1),377,OO(3),426
YY(2),198,RW(1),426
GG(2),116,YY(3),427
RR(2),116,GG(2),427
RR(2),170,GR(2),427
LB(2),240,PG(1),428
LB(2),422,YO(1),428
RR(2),343,GG(2),428
WB(1),259,WB(2),428
YY(2),467,LB(2),428
FB(1),434,RW(1),429
PG(1),464,OO(3),429
FB(1),105,GG(2),430
GG(1),335,GW(2),430
GR(2),286,WW(2),430
OB(2),301,RW(1),430
PP(2),67,PG(1),430
PP(2),67,GR(2),430
FB(1),303,OO(3),431
GW(2),451,GG(2),431
PP(2),279,OB(2),431
YY(2),169,FB(1),431
GR(1),76,YO(1),432
GW(2),229,PG(1),432
YY(2),278,FB(1),432
BB(2),140,GR(2),433
BB(2),303,OB(2),433
BP(1),312,GW(2),433
RW(1),182,OO(3),433
YY(2),441,LB(2),433
OB(2),195,YO(1),434
YO(1),362,OO(3),434
BB(2),321,LB(2),436
FB(1),302,GG(2),436
LB(2),307,GR(2),436
WW(1),251,OB(2),437
WW(1),350,LB(2),437
YY(2),237,WB(2),437
FB(1),26,GG(2),438
GR(2),516,GG(2),439
RR(2),29,FB(1),439
YO(1),29,YY(3),439
YY(2),9,PG(1),439
OB(2),495,WW(2),440
YY(2),264,FB(1),440
GR(2),306,OO(3),441
PG(1),407,WW(2),441
YY(2),189,GR(2),441
BB(2),51,WW(2),442
GW(2),343,GR(2),442
LB(2),286,PG(1),442
OB(2),199,YO(1),442
BB(2),321,GW(2),443
OB(2),141,WB(2),443
PG(1),462,GG(2),443
WB(1),103,OB(2),443
PP(2),67,YO(1),444
LB(2),343,WB(2),445
PG(1),171,RW(1),445
FB(1),303,GG(2),446
LB(2),309,YO(1),446
OB(2),436,WB(2),446
BB(2),246,FB(1),447
OO(2),276,PG(1),447
PG(1),314,RW(1),448
RR(2),343,WB(2),448
RR(2),364,GG(2),448
RW(1),55,YY(3),448
RW(1),482,BB(3),448
WB(2),490,WW(2),448
FB(1),80,YO(1),449
LB(2),486,GG(2),449
OB(1),55,FB(1),449
FB(1),41,YO(1),450
GG(1),380,FB(1),450
GW(2),278,GR(2),450
OO(2),242,LB(2),450
PG(1),468,GG(2),450
OB(2),332,GG(2),451
PG(1),348,WW(2),451
RR(2),468,GR(2),451
BB(2),226,GR(2),452
FB(1),537,WB(2),452
PP(2),77,YO(1),452
WB(2),360,YY(3),452
PG(1),313,RW(1),453
GW(2),344,YO(1),454
GW(2),418,WW(2),454
GW(2),418,RW(1),454
OB(2),363,GG(2),454
BB(2),307,GW(2),455
GR(2),432,RW(1),455
RW(1),472,YY(3),455
GR(2),498,WB(2),456
LB(2),48,YO(1),456
PP(2),321,RW(1),456
RR(2),340,OB(2),457
WB(1),259,FB(1),457
YO(1),146,WW(2),457
LB(2),343,YO(1),458
GR(2),272,RW(1),459
PP(2),452,OO(3),459
OB(2),468,GG(2),460
PG(1),379,OO(3),460
RR(2),275,FB(1),460
WW(1),61,OB(2),460
YY(2),358,PG(1),460
RR(2),170,OB(2),461
RW(1),392,OO(3),461
FB(1),105,YO(1),462
OB(2),196,RW(1),462
YO(1),107,GG(2),462
YO(1),393,OO(3),462
LB(2),306,RW(1),464
OB(2),287,GG(2),464
RR(2),98,OB(2),464
YY(2),70,GR(2),464
BP(1),312,YO(1),465
BP(1),312,PG(1),465
OY(1),288,GR(2),466
RR(2),466,OB(2),466
PP(2),286,YO(1),467
GG(1),380,LB(2),468
GW(2),278,WW(2),468
GW(2),278,RW(1),468
WB(2),362,YY(3),468
WR(1),336,FB(1),468
GR(2),286,OO(3),469
PP(2),174,OB(2),469
BB(2),194,GW(2),470
LB(2),395,RW(1),470
OO(2),418,LB(2),471
PP(2),115,FB(1),471
BB(2),226,LB(2),472
LB(2),203,WB(2),472
OB(2),115,WB(2),473
RR(2),446,FB(1),473
BB(2),321,FB(1),474
GW(2),276,GR(2),474
PO(1),269,OB(2),474
YO(1),412,GG(2),474
YY(2),20,YY(3),474
OB(2),69,RW(1),475
RR(2),469,GR(2),475
GW(2),430,PG(1),476
WB(1),259,OB(2),476
GW(2),431,GR(2),478
WW(2),414,YY(3),478
RR(2),247,GG(2),479
GG(1),380,OB(2),480
GG(2),442,YY(3),480
LB(2),246,YO(1),480
OB(2),77,GG(2),480
OB(2),321,WB(2),480
GR(2),173,OO(3),481
LB(2),276,YO(1),481
